id	times_submit	time_finish	source	source_info	IP	sex	grade	residence	school	SNS1	SNS2	SNS3	SNS4	SNS5	SNS6	SES1	SES2	SES3	SES4	SES5	SES6	SES7	SES8	SES9	SES10	CSES1	CSES2	CSES3	CSES4	EIB1	EIB2	EIB3	EIB4	EIB5	EIB6	EIB7	EIB8	total	SES3_r	SES5_r	SES9_r	SES10_r
38	2021/3/24 16:23:26	38秒	微信	N/A	36.18.120.176(浙江-杭州)	2	3	2	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	4	4	4	4	4	4	4	4	7	7	7	7	5	5	4	3	4	4	4	3	130	1	1	1	1
39	2021/3/24 16:23:29	93秒	微信	N/A	111.43.18.197(黑龙江-大庆)	2	2	2	1	.801953698731894	1.03545386468209	-.00446227416645099	1.23392373747556	1.28236066417334	1.38024099038612	4	3	2	3	2	3	3	2	3	2	5	5	5	5	4	4	4	4	4	4	4	4	108	3	3	2	3
40	2021/3/24 16:24:29	176秒	微信	N/A	117.136.84.21(云南-昆明)	2	1	2	2	-.272261691643456	-.796919990095643	-.909411475122728	-1.18618974376277	-1.39318195613894	-.23495158232193	3	2	3	3	3	2	2	3	3	3	5	4	4	4	3	4	4	4	3	3	2	3	87	2	2	2	2
41	2021/3/24 16:25:45	495秒	微信	N/A	14.204.0.180(云南-昆明)	2	4	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	.390513124069247	.572644704032094	4	3	2	3	2	3	3	2	2	1	5	6	6	5	4	4	4	4	2	4	3	3	103	3	3	3	4
42	2021/3/24 16:38:50	83秒	微信	N/A	117.136.84.146(云南-昆明)	2	1	2	2	-.272261691643456	.119266937293226	-.00446227416645099	-.379485250016662	.390513124069247	-.23495158232193	3	3	2	3	2	3	3	2	3	4	4	4	4	4	4	4	4	3	4	3	3	4	95	3	3	2	1
43	2021/3/24 16:45:30	91秒	微信	N/A	211.138.116.224(浙江-杭州)	2	2	2	1	.801953698731894	1.03545386468209	.900486926789826	.427219243729449	.390513124069247	-.23495158232193	3	3	2	3	2	2	3	1	2	2	4	4	5	5	4	4	4	3	3	3	3	3	94	3	3	3	3
44	2021/3/24 16:46:57	100秒	微信	N/A	115.205.104.155(浙江-杭州)	1	4	2	1	-.272261691643456	.119266937293226	-.909411475122728	-.379485250016662	-.501334416034844	.572644704032094	3	2	3	2	3	3	2	3	2	2	4	4	4	4	3	3	4	3	3	2	3	3	86	2	2	3	3
45	2021/3/24 16:48:37	341秒	微信	N/A	223.104.240.113(云南-未知)	1	1	2	2	-.272261691643456	.119266937293226	-.00446227416645099	-.379485250016662	-.501334416034844	-1.04254786867595	3	3	1	3	1	3	3	2	2	2	4	4	4	4	3	4	4	3	4	4	3	4	88	4	4	3	3
46	2021/3/24 16:49:38	45秒	微信	N/A	117.136.72.39(云南-昆明)	1	2	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	-.23495158232193	3	4	2	4	4	4	4	4	4	4	7	7	5	5	4	4	4	3	3	3	4	4	118	3	1	1	1
47	2021/3/24 16:52:16	106秒	微信	N/A	117.178.56.100(江西-景德镇)	2	2	1	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	2	2	2	4	3	3	2	3	3	3	4	4	5	4	4	4	4	3	2	3	4	4	102	3	2	2	2
48	2021/3/24 16:54:12	27秒	微信	N/A	112.17.247.10(浙江-未知)	1	2	1	1	-1.34647708201881	-.796919990095643	-.00446227416645099	-.379485250016662	.390513124069247	.572644704032094	4	4	3	3	4	4	4	3	3	3	6	6	6	7	4	4	4	4	4	4	4	4	113	2	1	2	2
49	2021/3/24 16:56:28	86秒	微信	N/A	117.136.60.124(江西-景德镇)	2	2	2	1	.801953698731894	1.03545386468209	.900486926789826	.427219243729449	1.28236066417334	-.23495158232193	3	3	3	3	2	3	3	2	2	2	4	5	5	5	4	4	4	4	4	4	4	4	104	2	3	3	3
50	2021/3/24 16:58:32	793秒	微信	N/A	211.138.116.152(浙江-杭州)	1	1	2	2	-2.42069247239416	-.796919990095643	-1.814360676079	-1.18618974376277	-1.39318195613894	-.23495158232193	3	2	3	2	3	3	2	3	3	3	4	4	3	3	2	2	2	4	2	4	2	3	76	2	2	2	2
51	2021/3/24 17:09:31	70秒	微信	N/A	106.121.141.99(北京-北京)	1	4	1	1	-.272261691643456	.119266937293226	-.00446227416645099	-.379485250016662	-1.39318195613894	1.38024099038612	4	4	1	4	2	4	4	3	3	3	5	7	5	7	5	4	4	5	5	5	5	4	115	4	3	2	2
52	2021/3/24 17:17:39	50秒	微信	N/A	112.17.247.215(浙江-未知)	1	3	1	2	-.272261691643456	.119266937293226	-.00446227416645099	-1.18618974376277	.390513124069247	-1.04254786867595	4	4	1	4	1	3	3	1	1	1	6	6	6	6	4	4	4	4	4	4	4	4	99	4	4	4	4
53	2021/3/24 17:18:26	101秒	微信	N/A	124.160.214.225(浙江-杭州)	1	4	2	2	.801953698731894	1.03545386468209	.900486926789826	-.379485250016662	-1.39318195613894	-.23495158232193	2	2	2	2	2	2	2	3	2	2	3	3	3	3	2	2	2	2	3	2	2	3	74	3	3	3	3
54	2021/3/24 17:18:40	138秒	微信	N/A	115.206.67.169(浙江-杭州)	2	4	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	3	3	3	3	3	3	3	100	2	2	2	2
55	2021/3/24 17:23:28	36秒	微信	N/A	119.62.6.39(云南-昆明)	2	2	2	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	4	4	4	4	4	4	4	4	6	6	6	6	4	4	4	4	4	4	4	4	126	1	1	1	1
56	2021/3/24 17:23:34	77秒	微信	N/A	119.62.6.45(云南-昆明)	1	2	1	2	-2.42069247239416	-1.71310691748451	-1.814360676079	-.379485250016662	-2.28502949624303	-1.85014415502998	2	3	3	2	3	3	2	3	3	3	4	5	5	5	4	4	4	4	4	3	4	3	87	2	2	2	2
57	2021/3/24 17:23:43	39秒	微信	N/A	119.62.6.45(云南-昆明)	2	2	1	2	.801953698731894	-.796919990095643	-1.814360676079	.427219243729449	-.501334416034844	-1.04254786867595	3	2	2	4	2	3	2	3	2	3	3	3	5	2	3	2	3	2	3	4	3	3	81	3	3	3	2
58	2021/3/24 17:23:50	48秒	微信	N/A	223.104.240.159(云南-未知)	2	2	1	1	.801953698731894	.119266937293226	.900486926789826	.427219243729449	.390513124069247	.572644704032094	3	3	3	3	3	3	3	3	3	3	4	5	4	5	4	4	4	3	4	3	3	3	102	2	2	2	2
59	2021/3/24 17:24:05	28秒	微信	N/A	180.130.2.173(云南-昆明)	1	2	2	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	4	4	4	4	4	4	4	4	4	4	7	7	7	7	5	5	5	5	5	5	5	5	138	1	1	1	1
60	2021/3/24 17:24:20	108秒	微信	N/A	223.104.244.25(浙江-杭州)	2	2	2	1	-.272261691643456	.119266937293226	.900486926789826	.427219243729449	-.501334416034844	.572644704032094	3	3	2	3	3	3	3	3	4	4	5	5	6	5	4	4	4	3	3	4	3	3	104	3	2	1	1
61	2021/3/24 17:25:19	56秒	微信	N/A	117.136.72.53(云南-昆明)	2	2	2	2	-1.34647708201881	-.796919990095643	-.909411475122728	-.379485250016662	-.501334416034844	-.23495158232193	3	3	3	3	2	3	3	2	1	1	7	7	5	6	4	4	4	4	4	4	4	4	99	2	3	4	4
62	2021/3/24 17:25:34	54秒	微信	N/A	106.61.133.95(云南-昆明)	2	2	2	2	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	.572644704032094	3	3	2	2	1	2	2	1	1	1	4	4	4	4	3	3	3	4	4	4	4	4	87	3	4	4	4
63	2021/3/24 17:26:06	122秒	微信	N/A	119.62.6.39(云南-昆明)	2	2	2	2	-1.34647708201881	-1.71310691748451	-1.814360676079	-1.99289423750888	-2.28502949624303	-1.85014415502998	2	1	2	2	2	3	3	1	2	1	1	1	1	6	4	4	4	4	3	4	4	4	69	3	3	3	4
64	2021/3/24 17:26:42	89秒	微信	N/A	117.136.84.164(云南-昆明)	2	2	1	1	.801953698731894	.119266937293226	.900486926789826	-.379485250016662	.390513124069247	.572644704032094	4	4	1	4	1	4	3	1	3	3	5	4	5	5	4	4	5	4	4	3	3	4	103	4	4	2	2
65	2021/3/24 17:28:13	79秒	微信	N/A	180.130.2.26(云南-昆明)	2	2	2	2	-.272261691643456	-.796919990095643	-.909411475122728	-.379485250016662	-.501334416034844	-.23495158232193	3	3	2	4	1	4	4	2	2	2	6	5	5	5	4	3	3	3	3	4	4	4	95	3	4	3	3
66	2021/3/24 17:29:02	77秒	微信	N/A	106.61.42.236(云南-昆明)	2	2	2	2	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	.572644704032094	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	84	2	3	3	2
67	2021/3/24 17:29:49	112秒	微信	N/A	119.62.6.37(云南-昆明)	1	2	1	2	.801953698731894	1.03545386468209	.900486926789826	.427219243729449	.390513124069247	.572644704032094	4	3	2	4	1	4	4	1	1	1	6	6	7	6	4	4	5	5	3	4	3	4	109	3	4	4	4
68	2021/3/24 17:30:02	124秒	微信	N/A	117.136.72.176(云南-昆明)	1	2	2	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	2	2	3	2	2	2	2	3	3	3	6	6	4	4	3	3	4	3	3	3	3	3	99	2	3	2	2
69	2021/3/24 17:30:28	85秒	微信	N/A	119.62.6.38(云南-昆明)	2	2	2	2	.801953698731894	1.03545386468209	.900486926789826	.427219243729449	.390513124069247	.572644704032094	3	3	2	3	3	2	2	3	4	4	5	5	5	5	3	3	3	3	3	3	4	3	101	3	2	1	1
70	2021/3/24 17:30:31	54秒	微信	N/A	119.62.6.34(云南-昆明)	2	2	1	2	-2.42069247239416	-1.71310691748451	-1.814360676079	-.379485250016662	-1.39318195613894	-.23495158232193	2	2	3	1	3	2	1	1	2	2	2	2	3	2	2	2	2	2	2	2	3	2	59	2	2	3	3
71	2021/3/24 17:34:12	129秒	微信	N/A	115.217.144.131(浙江-宁波)	1	4	1	1	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	1.28236066417334	1.38024099038612	3	2	3	2	4	2	3	3	3	3	2	2	3	3	3	2	4	3	3	3	4	3	93	2	1	2	2
72	2021/3/24 17:37:29	80秒	微信	N/A	119.62.6.37(云南-昆明)	1	2	2	2	-.272261691643456	-1.71310691748451	-2.71930987703528	-.379485250016662	-1.39318195613894	-.23495158232193	3	2	2	3	2	3	2	2	2	2	4	4	4	4	3	3	3	3	3	3	3	3	78	3	3	3	3
73	2021/3/24 17:37:30	195秒	微信	N/A	106.61.134.200(云南-昆明)	1	2	1	2	.801953698731894	1.03545386468209	.900486926789826	-.379485250016662	-.501334416034844	.572644704032094	3	3	1	3	3	3	2	3	2	3	3	4	5	4	4	4	5	3	2	2	3	4	94	4	2	3	2
74	2021/3/24 17:45:06	135秒	微信	N/A	223.104.240.173(云南-未知)	2	2	2	2	-.272261691643456	.119266937293226	-.00446227416645099	-.379485250016662	-.501334416034844	.572644704032094	3	3	2	3	3	3	3	2	3	3	4	4	4	4	3	3	3	3	3	3	3	3	90	3	2	2	2
75	2021/3/24 17:50:17	162秒	微信	N/A	106.57.117.159(云南-昆明)	2	2	2	2	-.272261691643456	.119266937293226	.900486926789826	1.23392373747556	.390513124069247	1.38024099038612	3	2	3	3	4	2	2	3	3	3	5	6	4	4	4	4	3	2	3	3	2	3	98	2	1	2	2
76	2021/3/24 17:50:44	128秒	微信	N/A	112.17.236.53(浙江-未知)	1	4	1	2	-1.34647708201881	-.796919990095643	-1.814360676079	-1.18618974376277	-1.39318195613894	-1.04254786867595	3	3	2	3	2	2	2	2	3	3	4	4	4	4	4	3	4	4	3	3	4	3	83	3	3	2	2
77	2021/3/24 17:50:52	70秒	微信	N/A	116.26.173.223(广东-汕头)	2	4	1	2	.801953698731894	.119266937293226	.900486926789826	.427219243729449	1.28236066417334	.572644704032094	4	3	3	3	2	3	3	2	2	2	3	3	5	3	3	3	3	2	2	2	2	2	87	2	3	3	3
78	2021/3/24 17:51:05	30秒	微信	N/A	117.136.72.125(云南-昆明)	1	2	1	2	-.272261691643456	-1.71310691748451	-.909411475122728	-1.18618974376277	.390513124069247	-1.04254786867595	3	2	3	2	3	2	3	2	4	1	2	4	2	5	2	4	2	4	4	2	4	4	81	2	2	1	4
79	2021/3/24 17:53:31	120秒	微信	N/A	119.62.6.34(云南-昆明)	2	2	1	2	-1.34647708201881	-.796919990095643	.900486926789826	.427219243729449	-.501334416034844	-.23495158232193	3	2	2	3	2	4	2	2	3	3	6	6	4	4	3	3	5	5	3	4	3	4	97	3	3	2	2
80	2021/3/24 18:01:21	165秒	微信	N/A	117.136.85.252(云南-昆明)	1	2	2	2	-.272261691643456	.119266937293226	.900486926789826	1.23392373747556	1.28236066417334	.572644704032094	3	3	3	2	2	3	3	2	3	3	4	4	4	4	4	5	4	4	3	2	1	4	97	2	3	2	2
81	2021/3/24 18:07:32	158秒	微信	N/A	223.104.246.173(浙江-杭州)	2	3	2	2	.801953698731894	.119266937293226	.900486926789826	.427219243729449	-.501334416034844	-1.85014415502998	3	3	2	4	3	3	2	2	3	2	5	5	5	4	2	2	4	2	1	2	1	1	83	3	2	2	3
82	2021/3/24 18:09:18	71秒	微信	N/A	42.100.185.159(黑龙江-哈尔滨)	2	4	1	1	.801953698731894	.119266937293226	-.00446227416645099	-1.99289423750888	-.501334416034844	-1.85014415502998	4	4	2	4	2	4	4	2	2	2	6	6	5	5	4	5	5	4	4	4	5	4	105	3	3	3	3
83	2021/3/24 18:10:05	78秒	微信	N/A	119.62.6.35(云南-昆明)	1	1	2	2	-.272261691643456	.119266937293226	-2.71930987703528	-1.99289423750888	-2.28502949624303	-1.85014415502998	4	4	1	4	1	4	4	1	1	1	5	5	5	5	4	4	4	4	4	4	4	4	89	4	4	4	4
84	2021/3/24 18:10:55	55秒	微信	N/A	218.199.207.89(湖北-武汉)	2	4	1	1	-.272261691643456	.119266937293226	-.00446227416645099	.427219243729449	.390513124069247	.572644704032094	3	3	2	3	2	3	3	2	2	2	5	4	5	5	4	4	4	4	4	4	4	4	100	3	3	3	3
85	2021/3/24 18:15:54	159秒	微信	N/A	60.12.87.110(浙江-绍兴)	1	4	2	2	.801953698731894	.119266937293226	.900486926789826	.427219243729449	.390513124069247	-.23495158232193	4	3	2	3	2	3	3	2	3	2	6	5	4	5	4	4	4	4	3	3	4	3	101	3	3	2	3
86	2021/3/24 18:17:31	78秒	微信	N/A	125.88.24.241(广东-广州)	2	4	1	1	.801953698731894	1.03545386468209	.900486926789826	-.379485250016662	1.28236066417334	-.23495158232193	3	3	2	3	1	3	3	2	2	3	6	6	6	6	4	4	4	4	4	4	4	4	107	3	4	3	2
87	2021/3/24 18:17:44	63秒	微信	N/A	223.104.240.235(云南-未知)	1	2	1	2	.801953698731894	.119266937293226	-.00446227416645099	-.379485250016662	.390513124069247	.572644704032094	3	3	2	3	3	3	3	3	2	3	4	5	4	5	3	4	3	4	3	3	3	4	97	3	2	3	2
88	2021/3/24 18:23:38	127秒	微信	N/A	117.136.72.57(云南-昆明)	1	2	1	2	.801953698731894	1.03545386468209	.900486926789826	1.23392373747556	.390513124069247	-.23495158232193	2	2	2	2	2	2	2	3	2	3	4	4	4	5	3	3	4	3	3	2	2	4	90	3	3	3	2
