id,sex,grade,school,SNS_t,SES_t,CSES_t,EIB_t,inter_raw,center_SES
45,1,1,2,-0.3468040938740236,31,16,29,-0.8471733141281622,2.442800788954635
46,1,2,2,0.836537884921797,29,24,29,0.3704196354338134,0.44280078895463504
47,2,2,1,1.1057366470398051,25,17,28,-3.933325528473942,-3.557199211045365
48,1,2,1,-0.2606977946993702,29,25,32,-0.11543718917161461,0.44280078895463504
49,2,2,1,0.702087135964112,28,19,32,-0.3912023982443031,-0.557199211045365
50,1,1,2,-1.3077160701320738,23,14,21,7.267238713209306,-5.557199211045365
51,1,4,1,-0.09164720738102687,34,24,37,-0.4988174926389421,5.442800788954635
52,1,3,2,-0.33261358614769354,35,24,32,-2.1429630752493902,6.442800788954635
53,1,4,2,0.12171261695438103,25,12,18,-0.4329560250043909,-3.557199211045365
54,2,4,2,1.1057366470398051,26,16,24,-2.827588881434137,-2.557199211045365
55,2,2,2,1.1057366470398051,28,24,32,-0.6161155873545267,-0.557199211045365
56,1,2,2,-1.7438031612078901,23,19,30,9.6906615516829,-5.557199211045365
57,2,2,2,-0.48766500140401714,28,13,23,0.27172655403675516,-0.557199211045365
58,2,2,1,0.5353474391076226,26,18,28,-1.368990048921169,-2.557199211045365
59,1,2,1,1.1057366470398051,28,28,40,-0.6161155873545267,-0.557199211045365
60,2,2,1,0.20767028402771567,25,21,28,-0.7387245705009571,-3.557199211045365
61,2,2,2,-0.6947632992684355,30,25,32,-1.002405036321224,1.442800788954635
62,2,2,2,0.20548667388568478,28,16,29,-0.11449701256943975,-0.557199211045365
63,2,2,2,-1.8336687607273685,25,9,31,6.522725068977928,-3.557199211045365
64,2,2,1,0.40089669014993756,32,19,31,1.380207441137507,3.442800788954635
65,2,2,2,-0.5157274008725439,33,21,28,-2.291274103482061,4.442800788954635
66,2,2,2,0.20548667388568478,24,12,24,-0.9364437081121789,-4.557199211045365
67,1,2,2,0.6880452603391006,35,25,32,4.432938546149255,6.442800788954635
68,1,2,2,1.1057366470398051,22,20,25,-7.250535469593357,-6.557199211045365
69,2,2,2,0.6880452603391006,23,20,25,-3.823604577919953,-5.557199211045365
70,2,2,2,-1.3259631424058667,19,9,17,12.672493898476581,-9.557199211045365
71,1,4,1,1.1057366470398051,22,10,25,-7.250535469593357,-6.557199211045365
72,1,2,2,-1.1187162124401295,27,16,24,1.7420640033954287,-1.557199211045365
73,1,2,2,0.40495325469740023,28,16,27,-0.22563963402764414,-0.557199211045365
74,2,2,2,-0.07760533175601562,26,16,24,0.19845229313939697,-2.557199211045365
75,2,2,2,0.6253616707284201,22,19,24,-4.100621053918408,-6.557199211045365
